,n,Real AUC,AUC 5%,AUC 95%,AUC Mean,AUC SD,AUC min,AUC 1%,AUC 5% 2,AUC 50% 2,AUC 95% 2,AUC 99%,AUC max
Dahl2021_p,131.0,0.7791023842917252,0.7124048344118766,0.8437021416883879,0.779430757832081,0.04142973837353949,0.6496221067548418,0.6796888848856061,0.7124048344118766,0.7817032793777591,0.8437021416883879,0.869161130148106,0.8890845070422535
Bilgory2023_p,132.0,0.6800092017483321,0.6107909211623594,0.7510378895828281,0.6805409242185569,0.04328085960844366,0.5580860363469059,0.5763746732098548,0.6107909211623594,0.6801900733302375,0.7510378895828281,0.7722712839350769,0.8310328962502876
LopezPerez2020_p,132.0,0.6754083275822406,0.5972225121553079,0.7482196233845939,0.6759787447308873,0.046407980186164724,0.5161290322580645,0.5643607134610945,0.5972225121553079,0.6774787209569819,0.7482196233845939,0.7721813907854809,0.7959858323494687
Kok2011_score,116.0,0.7063492063492063,0.6282280344202897,0.7773078026537374,0.7066349574178035,0.04559301013092207,0.5692546583850931,0.5977912230998169,0.6282280344202897,0.7088637202192705,0.7773078026537374,0.8017515275114038,0.8388739143456124
Burgos2010_score,40.0,0.6845238095238095,0.5115833333333334,0.8448801137065876,0.6854141223016352,0.10206379695343187,0.23958333333333331,0.4272769230769231,0.5115833333333334,0.6858527806803669,0.8448801137065876,0.8899068740399385,0.9436274509803921
Tasnim2012_score,40.0,0.6264880952380952,0.4717729907385079,0.765625,0.6220600239614978,0.08785932957218011,0.3176638176638177,0.41208984375,0.4717729907385079,0.6224514779202279,0.765625,0.8219446153846154,0.886039886039886
