,Dahl2021_p,Bilgory2023_p,LopezPerez2020_p,Kok2011_score,Burgos2010_score,Tasnim2012_score
0,0.8151053864168619,0.8023504273504273,0.6391184573002755,0.7693014705882352,0.7789968652037618,0.5758928571428572
1,0.8322966507177034,0.7700255398188995,0.653110599078341,0.7256944444444444,0.8802083333333334,0.6620879120879121
2,0.771936274509804,0.6602534562211981,0.693121693121693,0.6496229260935144,0.7821316614420063,0.6362007168458781
3,0.8045774647887324,0.6404987300854306,0.6547235023041476,0.6512820512820513,0.825,0.45333333333333337
4,0.7281690140845071,0.7081505425998613,0.632001836547291,0.6978861788617886,0.5297805642633229,0.7122507122507122
5,0.804079254079254,0.6834449318864004,0.5972350230414747,0.7082331730769231,0.6057692307692307,0.47311827956989244
6,0.6569464201043148,0.6707988980716253,0.632532902332025,0.5888226527570789,0.4921875,0.4667519181585678
7,0.7549180327868853,0.7537729277919666,0.5796491228070175,0.6874811463046757,0.8200000000000001,0.7351190476190476
8,0.7469483568075116,0.7513824884792626,0.7468894009216589,0.6990909090909091,0.8035714285714286,0.6195054945054945
9,0.7803827751196172,0.6309988518943742,0.635601118359739,0.7487980769230769,0.796875,0.404296875
10,0.8294817927170869,0.6839067190025397,0.6078272916185639,0.6925029868578256,0.708,0.4546703296703297
11,0.7607463391591875,0.7346445824706694,0.6964285714285714,0.7010216346153847,0.6783333333333332,0.6383928571428571
12,0.7836065573770492,0.66015625,0.6924315619967794,0.7221231043710973,0.7533333333333334,0.6457680250783698
13,0.7417017297802713,0.712212677037381,0.6328217237308147,0.6742308863844045,0.7109375,0.6239316239316239
14,0.7895784543325527,0.7081505425998614,0.6873706004140787,0.6874242424242424,0.6285266457680251,0.53515625
15,0.7754098360655738,0.7037037037037037,0.5817129629629629,0.6756513926325247,0.8839285714285714,0.6771978021978022
16,0.8252380952380952,0.6829861111111111,0.646268656716418,0.7964242788461539,0.8494623655913979,0.6510989010989011
17,0.8073062558356676,0.5625,0.7113662456946039,0.7004206730769231,0.7046703296703296,0.6679999999999999
18,0.7971291866028706,0.680299539170507,0.7534722222222222,0.7164404223227753,0.8034188034188035,0.451171875
19,0.7793978188715032,0.6296992481203008,0.6195177956371987,0.7389880952380953,0.7976190476190477,0.5579937304075235
20,0.8050887021475257,0.6495906432748538,0.7634000460087417,0.7463574189711568,0.8366666666666667,0.822884012539185
21,0.8014225746268657,0.6496543778801844,0.7123066266451168,0.686748798076923,0.8736979166666667,0.6538461538461539
22,0.7384074941451991,0.6744833991177153,0.6776859504132231,0.7080357142857142,0.6175548589341693,0.677734375
23,0.792822966507177,0.6547291092745637,0.6591902461467679,0.6282608695652173,0.837912087912088,0.4375
24,0.7786713286713288,0.694616977225673,0.6799812030075187,0.7310386841303687,0.7650000000000001,0.5866666666666667
25,0.7824463118580766,0.6003232509812977,0.6237426900584795,0.7662377450980392,0.49333333333333335,0.5721003134796239
