Predictor,ROC Index,threshold,sensitivity,specificity,1-specificity
Kok2011_score,3,19.0,0.7301587301587301,0.5660377358490566,0.4339622641509434
Kok2011_score,4,18.0,0.8571428571428571,0.39622641509433965,0.6037735849056604
Kok2011_score,5,17.0,0.9523809523809523,0.16981132075471694,0.8301886792452831
Kok2011_score,6,15.0,0.9841269841269841,0.1132075471698113,0.8867924528301887
Kok2011_score,7,14.0,1.0,0.0,1.0
Burgos2010_score,0,13.0,0.0,1.0,0.0
Burgos2010_score,1,12.0,0.16666666666666666,1.0,0.0
Burgos2010_score,2,11.0,0.25,1.0,0.0
Burgos2010_score,3,10.0,0.25,0.9642857142857143,0.03571428571428571
Burgos2010_score,4,9.0,0.5,0.8928571428571429,0.10714285714285714
Burgos2010_score,5,8.0,0.5833333333333334,0.6785714285714286,0.32142857142857145
Burgos2010_score,6,7.0,0.75,0.4285714285714286,0.5714285714285714
Burgos2010_score,7,6.0,0.75,0.3571428571428571,0.6428571428571429
Burgos2010_score,8,5.0,1.0,0.0,1.0
Tasnim2012_score,0,10.0,0.0,1.0,0.0
Tasnim2012_score,1,9.0,0.08333333333333333,1.0,0.0
Tasnim2012_score,2,8.0,0.16666666666666666,0.8214285714285714,0.17857142857142858
Tasnim2012_score,3,7.0,0.4166666666666667,0.75,0.25
Tasnim2012_score,4,6.0,0.6666666666666666,0.4642857142857143,0.5357142857142857
Tasnim2012_score,5,5.0,1.0,0.25,0.75
Tasnim2012_score,6,4.0,1.0,0.0357142857142857,0.9642857142857143
Tasnim2012_score,7,3.0,1.0,0.0,1.0
